location_name,CVE_GEO,date,location_id,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
Aguascalientes,1,11/1/20,4643,180.860255,0,497.2024306,49.17735838,0,138.1166667,44.69770537,0,123.678125,27.59169369,0,74.87534722,8.113987962,0,22.00833333,0,0,117.2024306,37.17735838,0,126.1166667,7.025233073,0,19.54149604,764.7747678,218.5034464,1899.707846,7.025233073,0,19.54149604,764.7747678,218.5034464,1899.707846,projected,-17.87511034,projected,288.1960181,,2545.896414,0,6284.373102
Baja California,2,11/1/20,4644,448.6965,0,994.525,115.7063333,0,248.0625,103.9173333,0,223,67.86416667,0,158.5,18.6985,0,41,0,0,0,86.70633333,0,219.0625,16.46032585,0,35.37622119,4497.130425,2445.680925,6973.495439,16.46032585,0,35.37622119,4497.130425,2445.680925,6973.495439,projected,-26.34466007,projected,334.8669921,,6010.647851,0,12676.83639
Baja California Sur,3,11/1/20,4645,118.3325638,0,306.3633333,28.91564645,0,75.54166667,25.96419798,0,67.49,18.02101952,0,45,4.812929191,0,12.20666667,0,0,58.36333333,21.91564645,0,68.54166667,4.022140236,0,10.5878134,372.7548148,122.6415054,707.6260746,4.022140236,0,10.5878134,372.7548148,122.6415054,707.6260746,projected,-22.52755964,projected,311.6473005,,1798.900372,0,4229.487115
Campeche,4,11/1/20,4646,119.5315147,0,262.6865385,34.51095303,0,75.34375,31.62539056,0,69.17083333,18.28993557,0,41.54107143,5.716675726,0,12.58413462,0,0,0,27.51095303,0,68.34375,4.980991276,0,10.89810582,766.5966297,341.3920446,1289.655961,4.980991276,0,10.89810582,766.5966297,341.3920446,1289.655961,projected,-33.34168374,projected,202.4570332,,1652.338606,0,3466.336903
Chiapas,7,11/1/20,4649,310.9848813,0,919.025,81.47022114,0,236.5375,74.00243422,0,217.0375,48.46493807,0,146.05,13.74335734,0,40.5125,0,0,0,44.47022114,0,199.5375,11.36846126,0,32.96697757,1592.954993,837.4179862,2663.758274,11.36846126,0,32.96697757,1592.954993,837.4179862,2663.758274,projected,-27.54665747,projected,67.79924297,,5305.544622,0,15769.30059
Chihuahua,8,11/1/20,4650,452.2116734,0,1481,128.3766575,0,412,117.390494,0,374.075,69.19191882,0,224.525,21.21317157,0,67.0125,0,0,433,96.37665754,0,380,18.44849549,0,60.03394846,2244.137075,798.6800195,5787.791012,18.44849549,0,60.03394846,2244.137075,798.6800195,5787.791012,projected,-20.90539706,projected,273.0313679,,6256.613833,0,17729.43999
Coahuila,5,11/1/20,4647,411.4914175,0,842.6,118.2722538,0,242.5125,104.5985877,0,213.075,54.16350774,0,119.525,16.81246159,0,33.5125,0,0,0,95.27225383,0,219.5125,18.39630619,0,38.37708768,2467.972753,455.0225529,4921.693033,18.39630619,0,38.37708768,2467.972753,455.0225529,4921.693033,projected,-55.55183836,projected,664.4397354,,2726.738179,0,5051.767198
Colima,6,11/1/20,4648,37.64116353,0,100.896875,10.98624121,0,27.5340625,9.996721283,0,24.64921569,5.572228558,0,16.2377451,1.744293142,0,4.4375,0,0,0,2.986241205,0,19.5340625,1.623584051,0,4.317415846,530.5913712,135.2799894,1316.665297,1.623584051,0,4.317415846,530.5913712,135.2799894,1316.665297,projected,-40.68652327,projected,116.2853616,,420.0142082,0,1107.423455
Durango,10,11/1/20,4652,192.4912646,0,729.5625,59.89015959,0,228,55.13097721,0,211,28.89710304,0,110.5125,9.743379711,0,36,0,0,5.5625,44.89015959,0,213,8.85315241,0,34.21172175,1237.88362,215.1400879,4454.592737,8.85315241,0,34.21172175,1237.88362,215.1400879,4454.592737,projected,-8.001974175,projected,293.6287312,,2326.602554,0,7884.376801
Guanajuato,11,11/1/20,4653,280.5239001,0,621.575,82.04920527,0,178.0125,74.52390332,0,161,40.2100864,0,101,12.89501317,0,28.5125,0,0,0,20.04920527,0,116.0125,12.20592042,0,26.4684114,4084.746981,787.8119207,7664.705317,12.20592042,0,26.4684114,4084.746981,787.8119207,7664.705317,projected,-48.40407844,projected,1334.443391,,3142.067944,0,6986.155527
Guerrero,12,11/1/20,4654,500.8922135,0,1344.025,154.8052444,0,412.025,142.7157317,0,378.5375,76.76149286,0,196.625,25.52095397,0,67,0,0,65.025,123.8052444,0,381.025,22.61069017,0,61.43515584,3113.915537,1209.489745,6301.529939,22.61069017,0,61.43515584,3113.915537,1209.489745,6301.529939,projected,-29.00251205,projected,359.659805,,6695.107614,0,15492.51836
Hidalgo,13,11/1/20,4655,232.9897367,0,564.5125,73.3160743,0,175.5375,68.06953625,0,164,36.17863989,0,92.5125,12.53103531,0,30.5,0,0,0,48.3160743,0,150.5375,10.5078814,0,25.05730351,1534.551127,863.4962393,2295.599195,10.5078814,0,25.05730351,1534.551127,863.4962393,2295.599195,projected,-19.61878413,projected,238.7573662,,3555.637813,0,8738.054711
Jalisco,14,11/1/20,4656,1214.162258,0,2996.125,362.8110099,0,897.5625,334.5264752,0,828.075,189.6978077,0,481.5,61.00289769,0,151.5,0,0,344.125,307.8110099,0,842.5625,52.05363162,0,128.2647312,4257.346676,1228.095718,7910.570678,52.05363162,0,128.2647312,4257.346676,1228.095718,7910.570678,projected,-25.2520296,projected,888.6373463,,17491.48763,0,41946.01131
Republica Mexicana,0,11/1/20,130,11379.92975,0,17857.46965,3371.788295,0,5277.238211,3094.318517,0,4839.11246,1732.363657,0,2739.835005,556.3644505,0,871.9116001,0,0,0,2211.788295,0,4117.238211,488.9776515,0,767.9331181,86635.8328,39991.50037,113270.4742,488.9776515,0,767.9331181,86635.8328,39991.50037,113270.4742,,,projected,21564.92786,,148932.8852,0,238071.2478
Ciudad de Mexico,9,11/1/20,4651,203.5445,0,587.1375,70.4095,0,207.5,65.6125,0,192.5875,30.6845,0,91.5125,11.5505,0,34,0,0,0,0,0,8.5,10.54217875,0,30.69840485,11841.03544,8381.807602,15829.65758,10.54217875,0,30.69840485,11841.03544,8381.807602,15829.65758,projected,-53.63543024,projected,4298.82294,,2361.521416,0,7201.704623
Michoacan,16,11/1/20,4658,281.6896798,0,853.2,93.32337157,0,277.5375,87.14849666,0,257.025,44.35563068,0,138.075,15.96295127,0,48.0125,0,0,0,65.32337157,0,249.5375,13.48912529,0,39.7366374,1504.11482,631.2763022,2948.109255,13.48912529,0,39.7366374,1504.11482,631.2763022,2948.109255,projected,-14.03718892,projected,553.2173324,,4236.50616,0,13088.25254
Morelos,17,11/1/20,4659,172.3576765,0,499.1375,54.66239573,0,158.525,50.76497619,0,148,27.19152122,0,85,9.26209076,0,26.5125,0,0,0,38.66239573,0,142.525,7.865626459,0,22.58999981,1298.549976,779.7570856,2193.253996,7.865626459,0,22.58999981,1298.549976,779.7570856,2193.253996,projected,-24.71103395,projected,119.9414021,,2546.81791,0,6863.772473
Mexico,15,11/1/20,4657,818.2845,0,2368.2625,220.6655,0,645.5625,200.625,0,590.15,125.694,0,375.075,36.576,0,106.5,0,0,0,84.6655,0,509.5625,31.37873468,0,91.26890995,8591.226501,5661.487683,12613.05257,31.37873468,0,91.26890995,8591.226501,5661.487683,12613.05257,projected,-23.80575444,projected,2080.533354,,11777.24502,0,35217.67325
Nayarit,18,11/1/20,4660,141.6031512,0,366.4875,45.53179985,0,114.8947917,42.35094379,0,106.0055556,22.11864443,0,59,7.692400337,0,19.30083333,0,0,64.4875,39.53179985,0,108.8947917,6.599153746,0,17.02547935,772.4166034,286.7593935,1423.173388,6.599153746,0,17.02547935,772.4166034,286.7593935,1423.173388,projected,-19.49800715,projected,138.5677158,,2020.248936,0,4807.246738
Nuevo Leon,19,11/1/20,4661,973.130471,0,2269.4125,285.5236807,0,678.5375,262.7572585,0,617.225,150.7167846,0,359.5125,47.98972598,0,112.0375,0,0,601.4125,219.5236807,0,612.5375,40.84075993,0,96.05115885,3103.657161,677.5574023,6218.138317,40.84075993,0,96.05115885,3103.657161,677.5574023,6218.138317,projected,-31.94311853,projected,1123.106971,,13861.00688,0,31263.32496
Oaxaca,20,11/1/20,4662,326.9001137,0,1169.675,110.869285,0,400.025,103.7076619,0,373.075,50.99142952,0,179.5,18.69064502,0,67,0,0,0,90.86928501,0,380.025,16.24199086,0,59.2021399,2103.344019,819.1531557,4469.327469,16.24199086,0,59.2021399,2103.344019,819.1531557,4469.327469,projected,-32.6093547,projected,329.7384082,,4555.062329,0,15079.54698
Puebla,21,11/1/20,4663,808.3257873,0,1669.5875,240.4088563,0,488.5625,220.9656397,0,455.525,122.7920365,0,257.5125,39.87109643,0,81.5125,0,0,0,176.4088563,0,424.5625,34.80956221,0,72.19777403,4940.748704,2062.192141,8721.143401,34.80956221,0,72.19777403,4940.748704,2062.192141,8721.143401,projected,-24.31324815,projected,1119.253533,,11130.21573,0,22826.80878
Queretaro,22,11/1/20,4664,254.3943364,0,692.9625,68.53595759,0,185.5208333,62.40879029,0,168.025,39.33529565,0,106.0125,11.50184838,0,30.5,0,0,283.9625,46.53595759,0,163.5208333,9.639807691,0,26.44985436,1001.416248,418.3655341,2264.382821,9.639807691,0,26.44985436,1001.416248,418.3655341,2264.382821,projected,-15.35685067,projected,156.8545638,,3991.185366,0,9626.151745
Quintana Roo,23,11/1/20,4665,288.7577643,0,530.147619,61.56633672,0,113,53.28259895,0,97.67083333,41.95082583,0,82.3375,9.520078608,0,17.57380952,10.75776432,0,252.147619,50.56633672,0,102,8.585240823,0,15.62514793,1901.118917,793.2814072,2690.484546,8.585240823,0,15.62514793,1901.118917,793.2814072,2690.484546,projected,-45.46365456,projected,364.7865012,,3365.540845,0,6351.268607
San Luis Potosi,24,11/1/20,4666,339.1853388,0,862.125,109.7378774,0,275.5125,100.1569753,0,255.0125,46.63823064,0,122,16.48300739,0,40.025,0,0,183.125,91.73787743,0,257.5125,17.24219887,0,43.88970332,2123.955342,332.8615224,6184.618712,17.24219887,0,43.88970332,2123.955342,332.8615224,6184.618712,projected,-55.08695636,projected,993.9201213,,2641.519554,0,6190.947747
Sinaloa,25,11/1/20,4667,96.35860833,0,248.0125,30.81085516,0,78.5,28.52119365,0,73,14.17671429,0,42.5,5.04374246,0,13,0,0,0,7.810855159,0,55.5,4.551003348,0,11.42402241,3182.038652,1872.473556,4341.215841,4.551003348,0,11.42402241,3182.038652,1872.473556,4341.215841,projected,-54.98180563,projected,479.8868941,,1213.15289,0,3168.292367
Sonora,26,11/1/20,4668,82.00989919,0,234.6125,23.91154677,0,68.5125,21.798641,0,64,12.06850619,0,39.0125,3.849014011,0,11.675,0,0,0,0,0,38.5125,3.501168392,0,10.03501648,2404.724501,1334.629215,3687.23027,3.501168392,0,10.03501648,2404.724501,1334.629215,3687.23027,projected,-52.777334,projected,657.9325132,,1029.944069,0,3095.827968
Tabasco,27,11/1/20,4669,80.54461508,0,199,22.41985992,0,54,20.20728611,0,48.5,11.98490675,0,37.525,3.546874206,0,8.5,0,0,0,6.419859921,0,38,3.277861834,0,7.754819788,3266.388084,1680.458936,4828.375603,3.277861834,0,7.754819788,3266.388084,1680.458936,4828.375603,projected,-50.66432576,projected,872.7823278,,931.4323202,0,2314.710393
